张小北,40,2012-12-09,2085,中国的喜剧片拍成这样，我作为一个观众就很满足了。
弓长青争,30,2012-12-09,1991,原谅我不懂这种无聊的笑点。
nana,20,2012-12-12,1616,这么白痴的片子，被人打分那么高！！！
马庆云,10,2012-12-12,1567,第一，故事节奏拖沓。第二，笑料太老，靠恶搞来取悦观众。第三，故事没有情怀，纯属闹剧。第四，大量桥段严重抄袭，没有原创喜剧桥段。第五，最大的问题，就是，不真诚，纯属骗观众电影票钱。
祖伊,40,2012-12-05,1170,为看《一九四二》特意攒过一些眼泪，结果没用上，看这片时全流出来了。
爱冒险的蝴蝶,20,2012-12-12,1129,有笑点但大部分生硬三俗。这真是一个人人猛于消费流行语和微博段子的时代。整体上，还不如上一部《人在囧途》真诚。其实挺喜欢作为演员的徐铮，只是做导演也许真的还不太合适。另外水军太多，打分虚高得吓人。
儿哥,50,2012-12-10,1106,近几年中看过的最好的喜剧了。本来想挑刺的，后来想想，本来就要末日了，大家乐呵乐呵，还洒几滴泪，其实也挺满足的。
丧彪,40,2012-11-08,898,作为喜剧，泰囧很成功。标准喜剧中国化、国产化的希望。我为国产喜剧能如此优质、如此用心而骄傲。
桃桃淘电影,30,2012-12-12,736,没预想的那么搞笑，也算不上惊喜。属于比较合格的喜剧片，起码不雷，不冷，有些笑点，这个要求在当前的国产喜剧就算高要求了。徐峥与王宝强一正一憨的组合也是老套路了，黄渤的冷幽默也不错。范爷不错
悍客.罗,40,2012-12-09,786,泰囧好在笑点密集但不影响主线，笑料三俗但不忘煽情升华，笑果十足但不走屎尿屁路线。放在贺岁档实在合适，看好票房奇袭。3个二逼青年的奇幻之旅，各种三俗笑料不断！看完不捂着肚子出来，说明要么你肌肉僵硬，要么你进错影厅。今年就指着这部二逼片子过年了！！！
白发生,40,2012-12-12,723,笑中有泪，煽情适度。满怀诚意的徐峥导演处男作，当之无愧的年度最佳国产喜剧。且看群雄逐鹿贺岁档，狭路相逢囧者胜。
阿德,40,2012-12-06,576,贺岁档终于有部说得过去的搞笑片了，哥觉得王宝强出演本片不应该要片酬啊，结尾爽爆了啊，完全是屌丝的逆袭啊！！
城南草木生,40,2012-12-05,510,作为导演的徐峥够心平气和，自恋也够克制，王宝强挺好但搞笑桥段依然无任何进步，他出现在任何一部喜剧里都会把效果充分拿捏成春晚，不知道会不会破坏徐峥初衷。黄渤根本就是浪费。希望徐峥一直拍，但诚意满满和优秀处女作之类永远不是一部电影加分的标准。今年最好看喜剧，但也只是很正常的喜剧而已。
歇斯底里的我,40,2012-12-11,524,结尾的《当》配上范冰冰的出现是最惊艳的！！全程无尿点！
晴耕雨读,40,2012-12-10,480,你到底什么星座啊！怎么人格这么分裂！哈哈哈，电影里面笑点很多，如果说从头笑到尾，并不过分！
[已注销],10,2012-12-11,416,全场无笑点，只有尿点！想抢钱去卖切糕啊亲，一刀杨幂上床，二刀上海买房，三刀兰博入手，四刀盖茨认娘，五刀股神转行，六刀台湾归降，七刀买断银行，八刀日本灭亡，九刀亚洲制霸，十刀世界称王！
皮革业,,2012-12-09,411,感觉今后一段国产喜剧的格局将是得王宝强者得天下。
Q。,40,2012-12-12,405,太可爱太好玩了！比起第一部来说，制作更加精良，节奏控制的更好，影院里笑声不断，全程无尿点，今年看过最好笑的电影了。虽然徐峥在预告里说过好的喜剧电影不应该是一直笑，应该留有空间，但是煽情的“空间”还是稍微多了一些。但是…导演，说好的人妖呢？★★★★
睐眼怪獸。,50,2012-12-10,324,特地给最亲爱的豆瓣加一星！。（XXX美爆了啊啊啊啊啊啊啊啊啊啊啊啊）
投机客,20,2012-12-12,260,不是抄的就是很狗血笑料不足剧情牵强
Black,10,2012-12-14,230,8.7分？别扯淡了……
大奇特(Grinch),30,2012-12-10,182,没想象的好，纯乐呵。仍然是一衰一损的捧逗组合，再加个T-1000型的跟屁虫，三人互相拆台，插科打诨。公路喜剧的特点就是“衰”，徐峥仍然以这个字为中心，出彩都在王宝强一人身上，黄渤就是个出气筒，只增色不抢戏。
[已注销],10,2012-12-11,180,廉颇老矣，尚能饭否？！
撒谎精太多了,20,2012-12-12,147,真的有那么好笑的吗？真的拍的那么好吗？
木卫二,30,2012-12-12,113,传一张图片的事，扯出了编造的各种笑料，消费段子。演完文艺演喜剧，不敢说是剥削或榨取王宝强，但祝他好运，多数地方我还是无感（脚丫子除外）。片子的话，随便扫一遍就够了，吹喜剧神作的估计都是压抑了五千年的结果。票房会好……但是票房好关评论什么事？
南庯峭,10,2012-12-15,104,1照搬《預產期/DUE DATE》2黃渤的戲份太少 3煽情實在是太他媽的傻逼了 PS總之很失望，負分
黄连树,30,2012-12-16,77,中国电影已经如此地艰难，有些平庸就不要拆穿。——林宥嘉    6/10
影志,30,2012-12-12,52,开开心心，老百姓的电影。电影院里很少见全堂哄笑的场面，或许平时都压抑坏了吧，这片适合解压。
罐头先生,20,2012-12-12,73,常见喜剧，常见段子合集，就知道范冰冰会来跑场。
胖跳跳,30,2012-12-12,58,预计在荷兰拍的《人在囧途之何炅》会在明年贺岁档和大家见面。
Benjen,30,2012-12-11,79,无法从这类国产电影中找到笑点，周星驰以后打着喜剧的国产片好像除了《疯狂的石头》就没啥好看的了。《让子弹飞》都比那些搞笑。无法从这些夸张的表情中笑出来= =，这么多五星不会是水军吧
♂ 未央,50,2012-12-12,71,评论就是：哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈。。。。。。开始看豆瓣居然给这样一部商业喜剧片了8分以上还担心是水军。但是看完之后真的觉得值，大呼过瘾，影院笑成一片。实在是好看！！！！！！
Supreme小宇宇,10,2012-12-12,51,分太高了平衡一下
邪小人,40,2012-12-10,47,电影刚结束听到一个朋友说遭了，我的隐形眼镜笑掉了，怪不得看起都模糊哟。
miumiu-li,30,2012-12-12,48,这样一部叙述相对完整、制作称不上精良的影片，放在上个世纪香港一抓一大把。徐峥的确有将上海人的精明发挥到极致。将这样一个现代版“寻宝”母题的故事，揉杂各种喜剧元素：消费网络文化；消费民工；一老一小打亲情牌；打闹喜剧、追赶喜剧传统；戏仿……最后还不忘赶一下基情潮流，轻易就讨好了观众。
双,40,2012-12-07,49,从片名到笑点都是网民倍亲切的方式，商业喜剧元素运用得成熟丰满，像小时候看电视里不断重播的港产喜剧，就算起承转合无悬念，笑果依然 ★★★☆
薇羅尼卡,40,2012-12-10,49,不出意外的话应该是本年度看过最好看的国产喜剧片了，强烈推荐！＂宝宝，我错了。。＂啊哈哈哈哈哈(￣▽￣)
冰山李约热内卢,10,2012-12-21,42,國內電影還是應該分級
大瘦瘦,30,2012-12-13,42,最基本的喜剧片模式，约翰·休斯的格局+宿醉式段子和表演，你们是被多少糟心的国产烂片给恶心到连《泰囧》都快吹成神作了？！PS：加入煽情段落让整体氛围乱起八糟的，冰冰最后给那么多戏真是败笔
夏日狂想,20,2012-12-23,31,第一部是建立在春运万人大迁徙基础上现实的囧，第二部则是“拍部闹剧搞掂贺岁”一样造作的囧。其实无所谓哪个囧的更高端，只是后者需要创作者更多内功的支持，单靠段子和咋呼注定是速朽的。片尾范爷出场加分。
冰山李约热内卢,10,2012-12-21,42,國內電影還是應該分級
大瘦瘦,30,2012-12-13,42,最基本的喜剧片模式，约翰·休斯的格局+宿醉式段子和表演，你们是被多少糟心的国产烂片给恶心到连《泰囧》都快吹成神作了？！PS：加入煽情段落让整体氛围乱起八糟的，冰冰最后给那么多戏真是败笔
夏日狂想,20,2012-12-23,31,第一部是建立在春运万人大迁徙基础上现实的囧，第二部则是“拍部闹剧搞掂贺岁”一样造作的囧。其实无所谓哪个囧的更高端，只是后者需要创作者更多内功的支持，单靠段子和咋呼注定是速朽的。片尾范爷出场加分。
阿蚪可以燎原,30,2012-12-13,37,评分8.7 不至于吧？！
路可可,,2012-12-12,40,不好笑 豆瓣什么时候水这么深了
文白,30,2012-12-12,26,合格的工业流水线作品，看不出徐峥的导演能力，前途如何，要看下两部检验。没惊喜，没失望，不想推荐人看，也不想骂娘，不能因为华语片向来很差就把合格当成了优秀，这分明是两码事。
ILoveRMB,40,2012-12-12,34,是我看错了吗？那个老外左边（观众角度）的美女洗澡出来是不是露点了
NullPointer,30,2012-12-15,22,有言曰低级幽默是伸手去挠别人的胳肢窝，这部片子彻底放下身段，以给观众全身笑点做一次泰式按摩的风格引人发笑。因为它按摩得真的狠用力，加一星。
姬理绘,40,2012-12-10,26,看的试映会，以国产电影的标准，很好了。以后那个笑话可以说，冯小刚和徐铮之间差了100多个陆川。
悬崖上的鲸鱼君,50,2012-12-10,24,《人再囧途之泰囧》：本片延续了前作笑中带泪的喜剧境界，采用两人相争加一个搅局的搞笑设置，适当卖腐，令人捧腹不已。初执导筒的徐峥较好地把握影片节奏，让人在笑过之后感受真情的可贵，堪称本年度最好看的国产娱乐片。提名：最佳影片/最佳新导演（徐峥）/最佳男配角（黄渤）/最佳剧本。★★★★☆
亵渎电影,30,2012-12-22,21,看着【泰囧】的豆瓣评分，足见中国观众被这一年国产电影糟心到什么程度，看到这部一部及格的电影就毫不犹豫的将其捧为年度神作了。作为一部喜剧，天朝终于有能拍出像模像样的类型片的导演了！别整天费脑子瞎跟风了，照着类型片的套路走准没错。摄影和美术能再用心点就更大气更棒了。★★★
陌小夕,40,2012-12-11,22,豆瓣3！块！钱！提前观影，出乎意料的好看啊~3个二逼青年的奇幻之旅，各种三俗笑料不断！看完整张脸都僵掉了，感觉对国产喜剧又会爱了~散场时全场响起了掌声，很多人都坐到片尾花絮放完才离开，看了不会后悔的国产喜剧！！！
伊豆,30,2012-12-12,33,3星半吧，有几个桥段还是很好笑的。但可怕的是，走出电影院脑子里竟然回想不起来啥东西。王宝强完全本色出演，黄渤的角色没啥可发挥的。当还珠的音乐响起，我被吓了一跳。。。。我怀念《疯狂的石头》。
Pekingcat,20,2012-12-16,29,这个。。。真的好笑吗。。。你们知道8.6分有教父3吗？
小哀,50,2012-12-10,23,去看就对了！
蒜 | BOY A✎,50,2012-12-12,27,确实算得上2012年最好的国产喜剧片，如果你笑点低的话，可以笑满全场。本来计划给四颗星，结果最后被范爷的惊喜出场和还珠格格音乐，彻底爆到鼓掌，加一颗星。
住在电影院,50,2012-12-10,28,七星 我第一次给七星，少年派我给了六星，七星凑齐了，泰囧让我实现了一个从头笑到尾笑到岔气的愿望
吴糍糍,40,2012-12-07,24,很不错，全场爆笑！徐峥第一次自编自导自演体现出的才华让人意外~这年头，能把一个故事讲好是多么不容易！
大头绿豆,20,2012-12-17,28,①从前负责逗哏的都纷纷无趣了，有点意思的一上银幕就都露馅了。像我们这种笑点的，基本也就告别国产自行车了。②王宝强的戏份应该统统给黄渤。前者演什么都是傻根，就像刘德华演什么都是刘德华。
老晃,40,2012-12-12,12,喜剧，是一切吸金大法的不二法门！无论2亿、3亿、5亿……甚至更多，《泰囧》，将给来年的中等成本类型片注入活力，恭喜所有年轻导演。
